# PROVENANCE: results/round63_next/FOG_DMD_PROBE64/LIVING_REGION_MAP.json -> grid[] (COPIED)
"# n_cells=81 n_pass=0 verdict=REGION_EMPTY (P1 bar: witness f_rec>=0.70, met by NONE)"
sigma_f,sigma_f_eff,shape,k_w_over_kp,claim,db,f_rec_witness,f_rec_nat_med,nmse_crb_witness,nmse_crb_nat_med,eta_p10,eta_med,t_req_0p30,exact_null,P1_pass
0.3,0.298,flat,1,1.25,120,0.438,0.667,0.095,0.134,0.984,0.995,408.9,False,False
0.3,0.298,flat,1,1.5,120,0.308,0.529,0.104,0.185,0.985,0.996,493.9,False,False
0.3,0.298,flat,1,1.8,120,0.05,0.413,0.14,0.312,0.988,0.996,891.1,False,False
0.3,0.298,flat,2,1.25,440,0.396,0.562,0.1,0.159,0.991,0.997,457.4,False,False
0.3,0.298,flat,2,1.5,440,0.337,0.558,0.109,0.208,0.991,0.998,542.3,False,False
0.3,0.298,flat,2,1.8,440,0.088,0.417,0.143,0.342,0.992,0.997,925.8,False,False
0.3,0.298,flat,4,1.25,1680,0.5,0.583,0.103,0.164,0.991,0.998,481.6,False,False
0.3,0.298,flat,4,1.5,1680,0.337,0.51,0.112,0.214,0.989,0.998,576.0,False,False
0.3,0.298,flat,4,1.8,1680,0.129,0.342,0.148,0.352,0.99,0.997,993.1,False,False
0.3,0.298,k^-1,1,1.25,120,0.438,0.625,0.087,0.125,0.981,0.994,347.4,False,False
0.3,0.298,k^-1,1,1.5,120,0.279,0.577,0.099,0.174,0.985,0.995,441.9,False,False
0.3,0.298,k^-1,1,1.8,120,0.083,0.421,0.137,0.301,0.988,0.995,851.8,False,False
0.3,0.298,k^-1,2,1.25,440,0.312,0.729,0.09,0.141,0.983,0.998,365.9,False,False
0.3,0.298,k^-1,2,1.5,440,0.192,0.548,0.101,0.191,0.988,0.998,464.1,False,False
0.3,0.298,k^-1,2,1.8,440,0.075,0.4,0.139,0.333,0.991,0.998,884.4,False,False
0.3,0.298,k^-1,4,1.25,1680,0.375,0.729,0.091,0.142,0.984,0.999,373.6,False,False
0.3,0.298,k^-1,4,1.5,1680,0.192,0.567,0.102,0.192,0.992,0.999,475.9,False,False
0.3,0.298,k^-1,4,1.8,1680,0.075,0.392,0.142,0.336,0.992,0.998,917.9,False,False
0.3,0.298,k^-2,1,1.25,120,0.458,0.792,0.066,0.097,0.986,0.992,197.0,False,False
