image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
cat,GAM4,DT30,10000.0,0,SCORE-OR,20.513252063976026,0.8597814690638174,nan,10.180401008678734,0.8910147281477896
deer,GAM4,DT30,10000.0,0,SCORE-OR,23.083672750952214,0.7866032422521855,nan,9.722546120572074,0.9630333577320974
dog,GAM4,DT30,10000.0,0,SCORE-OR,16.089802367871403,0.4761124279939713,nan,9.807079701089235,0.5482282966313593
horse,GAM4,DT30,10000.0,0,SCORE-OR,19.427923628407143,0.8301081007158072,nan,9.599897697446803,0.8941398230368054
airplane,GAM4,DT30,10000.0,0,SCORE-OR,19.408948338938725,0.6870410544570936,nan,10.1278937714342,0.8480834441165052
car,GAM4,DT30,10000.0,0,SCORE-OR,22.22433457767501,0.9451228199277889,nan,9.489795863513946,0.9643351267120689
ship,GAM4,DT30,10000.0,0,SCORE-OR,17.438797180158442,0.6639098216710222,nan,9.939998993046983,0.8524786296438261
truck,GAM4,DT30,10000.0,0,SCORE-OR,21.803571571382996,0.8996755948598786,nan,9.527878279792407,0.9577652582058814
cat,GAM4,DT30,10000.0,0,WHITEN-OR,23.54833371208667,0.9282692912454155,nan,7.189285655277152,0.9442493289986146
deer,GAM4,DT30,10000.0,0,WHITEN-OR,26.31008879468012,0.8762547739103508,nan,6.73365973113261,0.9819787848171654
dog,GAM4,DT30,10000.0,0,WHITEN-OR,19.33793438192775,0.6118853556174286,nan,6.786794505166249,0.6702516835133427
horse,GAM4,DT30,10000.0,0,WHITEN-OR,22.37097596074312,0.9080896558945349,nan,6.853946057832648,0.9442905887853364
airplane,GAM4,DT30,10000.0,0,WHITEN-OR,22.84689077246266,0.8125008024262825,nan,6.867865310291775,0.9188587175290428
car,GAM4,DT30,10000.0,0,WHITEN-OR,25.49841336800028,0.9739876679819109,nan,6.522203416369201,0.9829945969092844
ship,GAM4,DT30,10000.0,0,WHITEN-OR,20.556281544551872,0.7858440785407885,nan,6.977295592493913,0.9194702785518761
truck,GAM4,DT30,10000.0,0,WHITEN-OR,25.138936826009566,0.941928996842065,nan,6.527648304033068,0.9796124584459971
cat,GAM4,DT30,10000.0,0,WHITEN-LW,23.54833371208667,0.9282692912454159,nan,7.1892856552771,0.9442493289986144
deer,GAM4,DT30,10000.0,0,WHITEN-LW,26.31008879468012,0.8762547739103492,nan,6.733659731132556,0.9819787848171653
dog,GAM4,DT30,10000.0,0,WHITEN-LW,19.337934381927745,0.6118853556174328,nan,6.786794505166249,0.6702516835133427
horse,GAM4,DT30,10000.0,0,WHITEN-LW,22.37097596074312,0.9080896558945354,nan,6.853946057832754,0.9442905887853367
airplane,GAM4,DT30,10000.0,0,WHITEN-LW,22.84689077246266,0.8125008024262783,nan,6.867865310291775,0.9188587175290429
car,GAM4,DT30,10000.0,0,WHITEN-LW,25.49841336800028,0.9739876679819109,nan,6.522203416369201,0.9829945969092846
ship,GAM4,DT30,10000.0,0,WHITEN-LW,20.556281544551872,0.7858440785407873,nan,6.97729559249386,0.9194702785518761
truck,GAM4,DT30,10000.0,0,WHITEN-LW,25.138936826009566,0.9419289968420651,nan,6.527648304032957,0.9796124584459968
cat,GAM4,DT30,10000.0,0,SIR-10,23.271611004724214,0.9253441146861363,nan,7.420261756754982,0.9408080463559655
deer,GAM4,DT30,10000.0,0,SIR-10,26.09495428198254,0.8695359548557113,nan,6.888852054390827,0.9812621373376924
dog,GAM4,DT30,10000.0,0,SIR-10,19.076236033588128,0.6002327247250507,nan,6.99150971555817,0.6627307236205817
horse,GAM4,DT30,10000.0,0,SIR-10,22.260987325331367,0.9070993370035579,nan,6.948194398388891,0.9419575842813905
airplane,GAM4,DT30,10000.0,0,SIR-10,22.508735724382035,0.802742741342906,nan,7.134611200999195,0.9139627223828585
car,GAM4,DT30,10000.0,0,SIR-10,25.281407681095175,0.9734285910070138,nan,6.682349350334159,0.9821936996450091
