family,probe_type,v_idx,err,q_theory
GAUSS,zero_mean_random,0,118.694,99.5866
GAUSS,zero_mean_random,1,74.9387,83.9926
GAUSS,zero_mean_random,2,105.329,101.157
GAUSS,zero_mean_random,3,91.5123,105.824
GAUSS,zero_mean_random,4,76.8635,88.5784
GAUSS,zero_mean_random,5,58.6382,73.904
GAUSS,zero_mean_random,6,121.409,103.976
GAUSS,zero_mean_random,7,94.0399,71.5863
GAUSS,zero_mean_random,8,122.651,95.8495
GAUSS,zero_mean_random,9,87.5427,85.266
GAUSS,zero_mean_random,10,96.4169,86.8377
GAUSS,zero_mean_random,11,75.2414,85.3264
GAUSS,zero_mean_random,12,135.44,103.786
GAUSS,zero_mean_random,13,92.7761,99.9543
GAUSS,zero_mean_random,14,88.5832,96.5802
GAUSS,zero_mean_random,15,99.659,88.214
GAUSS,zero_mean_random,16,92.3318,87.3827
GAUSS,zero_mean_random,17,92.54,95.2768
GAUSS,zero_mean_random,18,68.9706,89.8941
GAUSS,zero_mean_random,19,139.091,104.27
GAUSS,zero_mean_random,20,93.1001,82.6885
GAUSS,zero_mean_random,21,112.43,113.145
GAUSS,zero_mean_random,22,79.5353,77.5873
GAUSS,zero_mean_random,23,131.652,103.914
GAUSS,zero_mean_random,24,72.4487,93.6026
GAUSS,zero_mean_random,25,68.3928,75.0849
GAUSS,zero_mean_random,26,94.963,89.3603
GAUSS,zero_mean_random,27,70.1807,66.6047
GAUSS,zero_mean_random,28,109.398,115.751
GAUSS,zero_mean_random,29,120.39,105.215
GAUSS,zero_mean_random,30,91.4265,97.6524
GAUSS,zero_mean_random,31,59.055,78.0065
GAUSS,nonzero_sum_random,32,83.2972,79.7727
GAUSS,nonzero_sum_random,33,99.7118,89.7138
GAUSS,nonzero_sum_random,34,69.0002,73.7891
GAUSS,nonzero_sum_random,35,129.634,108.427
GAUSS,nonzero_sum_random,36,100.294,117.284
GAUSS,nonzero_sum_random,37,78.2705,92.9232
GAUSS,nonzero_sum_random,38,115.34,99.682
GAUSS,nonzero_sum_random,39,113.962,107.415
GAUSS,nonzero_sum_random,40,98.6181,108.006
GAUSS,nonzero_sum_random,41,85.2356,84.4069
GAUSS,nonzero_sum_random,42,114.957,115.201
GAUSS,nonzero_sum_random,43,99.9392,128.155
GAUSS,nonzero_sum_random,44,96.7573,115.42
GAUSS,nonzero_sum_random,45,104.04,110.9
GAUSS,nonzero_sum_random,46,112.852,119.761
GAUSS,nonzero_sum_random,47,98.2458,96.329
GAUSS,structured,48,440.235,439.239
GAUSS,structured,49,33.5445,37.9066
GAUSS,structured,50,33.3639,37.9208
GAUSS,structured,51,3.90547,3.25171
GAUSS,structured,52,296.781,362.159
GAUSS,structured,53,341.759,361.8
GAUSS,structured,54,275.348,337.146
GAUSS,structured,55,207.437,242.374
GAUSS,structured,56,274.228,242.83
GAUSS,structured,57,259.272,226.173
GAUSS,structured,58,307.392,225.834
GAUSS,structured,59,151.556,151.205
GAUSS,structured,60,520.482,405.04
GAUSS,structured,61,428.354,405.191
GAUSS,structured,62,282.278,334.675
GAUSS,structured,63,276.163,223.923
GAM1,zero_mean_random,0,1.00098,0.0357151
GAM1,zero_mean_random,1,1.00335,0.035799
GAM1,zero_mean_random,2,1.00054,0.0356725
GAM1,zero_mean_random,3,1.00003,0.0356861
GAM1,zero_mean_random,4,1.00031,0.0356778
GAM1,zero_mean_random,5,1.00016,0.0358648
GAM1,zero_mean_random,6,1.00106,0.0357422
GAM1,zero_mean_random,7,1.00213,0.0357351
GAM1,zero_mean_random,8,1.00122,0.0357647
GAM1,zero_mean_random,9,1.00029,0.035774
GAM1,zero_mean_random,10,1.00199,0.0357863
GAM1,zero_mean_random,11,1.00313,0.0357292
GAM1,zero_mean_random,12,1.00011,0.0357644
GAM1,zero_mean_random,13,1.00001,0.0357602
