arm,config,seed,M,image,PSNR
mave_perm0,default,0,20000,cat,4.041726587144903
mave_perm0,default,0,20000,deer,7.02914890710044
mave_perm0,default,0,20000,dog,-0.41140905605740374
mave_perm0,default,0,20000,horse,2.6025895633383556
mave_perm0,default,0,20000,airplane,3.2546643196042364
mave_perm0,default,0,20000,car,5.740333089407894
mave_perm0,default,0,20000,ship,0.6414815832064291
mave_perm0,default,0,20000,truck,5.064144948776468
mave_perm1,default,0,20000,cat,4.569791719571202
mave_perm1,default,0,20000,deer,6.811481322296319
mave_perm1,default,0,20000,dog,-0.3011545080267496
mave_perm1,default,0,20000,horse,3.1308288832460027
mave_perm1,default,0,20000,airplane,3.7982940045505247
mave_perm1,default,0,20000,car,5.981505876729033
mave_perm1,default,0,20000,ship,1.661737101609368
mave_perm1,default,0,20000,truck,5.798647195080645
mave_perm2,default,0,20000,cat,5.311134708031272
mave_perm2,default,0,20000,deer,6.336396383366219
mave_perm2,default,0,20000,dog,-0.0348711002296176
mave_perm2,default,0,20000,horse,3.274984548228913
mave_perm2,default,0,20000,airplane,3.98376148638319
mave_perm2,default,0,20000,car,5.877728897771027
mave_perm2,default,0,20000,ship,1.6141435520703418
mave_perm2,default,0,20000,truck,6.116695069417467
mave_unperm,default,0,20000,cat,30.37943707005126
mave_noise,default,0,20000,cat,4.796011825626134
whiten_lw,-,0,20000,cat,23.54833371208667
l_isotron,-,0,20000,cat,23.576564753557108
mle_renewal,best_of,0,20000,cat,33.74680092212263
mave_lin,default,0,20000,cat,31.928902806170136
whiten_lw_lin,-,0,20000,cat,24.152721454924336
mave_unperm,default,0,20000,deer,34.67706033150729
mave_noise,default,0,20000,deer,6.8287395094030465
whiten_lw,-,0,20000,deer,26.31008879468012
l_isotron,-,0,20000,deer,26.340618960799485
mle_renewal,best_of,0,20000,deer,36.899468467199064
mave_lin,default,0,20000,deer,35.54423930033925
whiten_lw_lin,-,0,20000,deer,26.517405205519285
mave_unperm,default,0,20000,dog,24.857415256877637
mave_noise,default,0,20000,dog,0.17482891114681048
whiten_lw,-,0,20000,dog,19.337934381927745
l_isotron,-,0,20000,dog,19.367159679614335
mle_renewal,best_of,0,20000,dog,27.90901710799421
mave_lin,default,0,20000,dog,27.070693004735418
whiten_lw_lin,-,0,20000,dog,19.293026083414855
mave_unperm,default,0,20000,horse,29.151022126841077
mave_noise,default,0,20000,horse,2.537431996427288
whiten_lw,-,0,20000,horse,22.37097596074312
l_isotron,-,0,20000,horse,22.37097596074312
mle_renewal,best_of,0,20000,horse,31.94214801884911
mave_lin,default,0,20000,horse,30.52584579295771
whiten_lw_lin,-,0,20000,horse,22.806008328112565
mave_unperm,default,0,20000,airplane,29.058723405263727
mave_noise,default,0,20000,airplane,3.994634952529626
whiten_lw,-,0,20000,airplane,22.84689077246266
l_isotron,-,0,20000,airplane,22.877034780585966
mle_renewal,best_of,0,20000,airplane,32.45940165310578
mave_lin,default,0,20000,airplane,30.131703027583114
whiten_lw_lin,-,0,20000,airplane,22.945991428061237
mave_unperm,default,0,20000,car,33.16689362246804
mave_noise,default,0,20000,car,5.385080140689896
whiten_lw,-,0,20000,car,25.49841336800028
l_isotron,-,0,20000,car,25.529017159096725
mle_renewal,best_of,0,20000,car,36.50278461273808
mave_lin,default,0,20000,car,34.836995035357916
whiten_lw_lin,-,0,20000,car,25.450236890843485
mave_unperm,default,0,20000,ship,27.197467876325014
mave_noise,default,0,20000,ship,1.3488644344375287
whiten_lw,-,0,20000,ship,20.556281544551872
l_isotron,-,0,20000,ship,20.556281544551872
mle_renewal,best_of,0,20000,ship,30.092671657963784
