cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_0,RQL,8.267,0.0555,,0.82769,0.01114,0.233224,25.13,0.010239999999999999,0.0,0.0,68.71,68.701,8.2669,1.0,6.401157,6.369792,1e-06,0.999694,0.5,0.114363,0.233224,OK,1.0281,0.275,0.925,False
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_0,POISSON-LIN,8.3692,0.06279,,0.86719,-0.49715,0.116612,25.13,0.010239999999999999,0.0,0.0,10.88,10.878,7.8619,1.0,6.401157,6.369792,1e-06,0.999694,0.5,0.057181,0.116612,,,,,
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_0,SAT-POISSON,8.2629,0.05512,,0.82808,0.01114,0.058306,25.13,0.010239999999999999,0.0,0.0,5.45,5.451,8.2627,1.0,6.401157,6.369792,1e-06,0.999694,0.5,0.028591,0.058306,,,,,
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_0,PRECORRECT,5.8759,0.06684,,1.09565,0.01106,4030919182515.1284,25.13,0.010239999999999999,0.0,0.0,1.57,1.573,5.8308,1.0,6.401157,6.369792,1e-06,0.999694,0.5,1976586092018.041,4030919182515.1284,,,,,
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_1,RQL,10.8913,0.34258,,0.87501,0.00903,0.233224,25.11,0.010239999999999999,0.0,0.0,67.59,67.587,10.8914,4.249877,6.53512,6.369792,1e-06,0.999694,0.5,0.114363,0.233224,OK,1.0643,0.15,0.425,False
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_1,POISSON-LIN,10.8711,0.33556,,0.90745,-0.49776,0.116612,25.11,0.010239999999999999,0.0,0.0,11.38,11.377,10.5751,4.249877,6.53512,6.369792,1e-06,0.999694,0.5,0.057181,0.116612,,,,,
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_1,SAT-POISSON,10.8793,0.34282,,0.87622,0.00902,0.058306,25.11,0.010239999999999999,0.0,0.0,5.45,5.447,10.8794,4.249877,6.53512,6.369792,1e-06,0.999694,0.5,0.028591,0.058306,,,,,
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_1,PRECORRECT,9.5593,0.08721,,1.02316,0.00882,4030919182515.1284,25.11,0.010239999999999999,0.0,0.0,1.62,1.62,9.5328,4.249877,6.53512,6.369792,1e-06,0.999694,0.5,1976586092018.041,4030919182515.1284,,,,,
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_2,RQL,9.1364,0.13354,,0.84198,0.01287,0.233224,25.15,0.010239999999999999,0.0,0.0,67.97,67.974,9.1371,1.0,6.389189,6.369792,1e-06,0.999694,0.5,0.114363,0.233224,OK,1.0019,0.5,0.625,False
S2A_DETAIL_c0151,S2A_DETAIL_21,64,bern50,1.0,50.0,4096,0,detail_glyph_2,POISSON-LIN,9.2424,0.14305,,0.87814,-0.49677,0.116612,25.15,0.010239999999999999,0.0,0.0,11.34,11.335,8.7718,1.0,6.389189,6.369792,1e-06,0.999694,0.5,0.057181,0.116612,,,,,
