cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_00,RQL,12.4729,0.15311,,0.40004,0.01046,0.099969,4.65,0.004096,0.0,0.0,68.11,68.102,12.4693,4.725231,2.796526,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,1.0019,0.525,0.95,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_01,RQL,18.0033,0.24679,,0.25943,0.00744,0.099969,4.64,0.004096,0.0,0.0,68.11,68.105,17.9995,1.0,2.665317,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,1.0401,0.175,0.3,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_02,RQL,17.6857,0.45782,,0.1475,0.00739,0.099969,4.64,0.004096,0.0,0.0,67.87,67.87,17.67,1.0,2.76643,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,0.9912,0.575,0.2,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_03,RQL,14.9732,0.32476,,0.32851,0.00731,0.099969,4.64,0.004096,0.0,0.0,67.87,67.871,14.9709,1.0,2.779465,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,0.9428,0.95,0.2,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_04,RQL,13.9209,0.09891,,0.42252,0.01011,0.099969,4.65,0.004096,0.0,0.0,68.42,68.422,13.9186,1.0,2.589754,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,1.0243,0.275,0.825,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_05,RQL,13.9067,0.09353,,0.47432,0.00665,0.099969,4.64,0.004096,0.0,0.0,68.09,68.087,13.9032,1.0,2.772362,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,0.9479,0.925,0.85,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_06,RQL,12.5047,0.1158,,0.46185,0.00804,0.099969,4.64,0.004096,0.0,0.0,67.81,67.809,12.5047,6.120317,2.800917,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,1.0023,0.5,0.3,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_07,RQL,12.0438,0.22431,,0.55744,-0.00826,0.099969,4.59,0.004096,0.0,0.0,67.34,67.339,12.0441,27.787589,2.869121,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,0.9913,0.55,1.0,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_08,RQL,11.8253,0.13621,,0.61356,0.00032,0.099969,4.62,0.004096,0.0,0.0,67.65,67.647,11.8255,33.476062,2.887027,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,0.9287,0.95,0.9,False
S2A_NATURAL_c0057,S2A_NATURAL_10,64,bern50,0.3,20.0,4096,1,stl_09,RQL,14.9381,0.25719,,0.42813,0.02323,0.099969,4.7,0.004096,0.0,0.0,66.65,66.649,14.9267,1.0,2.723143,2.781652,1e-06,0.999703,0.5,0.04902,0.099969,OK,0.9247,0.95,0.325,False
