cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_00,RQL,12.5401,0.1514,,0.39712,0.01739,0.208678,4.84,0.0051199999999999996,0.0,0.0,17.27,17.258,12.5331,1.0,3.91639,4.322308,5e-06,0.9988,0.5,0.102327,0.208678,OK,0.8254,0.975,0.075,False
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_00,POISSON-LIN,12.4674,0.15114,,0.40108,-0.03186,0.198741,4.84,0.0051199999999999996,0.0,0.0,0.71,0.713,12.4468,1.0,3.91639,4.322308,5e-06,0.9988,0.5,0.097454,0.198741,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_00,SAT-POISSON,12.5427,0.15138,,0.397,0.0174,0.189277,4.84,0.0051199999999999996,0.0,0.0,0.89,0.886,12.5357,1.0,3.91639,4.322308,5e-06,0.9988,0.5,0.092813,0.189277,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_00,PRECORRECT,4.5114,0.00013,,1.0,-1.0,1160640612494.6172,4.84,0.0051199999999999996,0.0,0.0,0.46,0.461,4.5114,1.0,3.91639,4.322308,5e-06,0.9988,0.5,569127285518.2208,1160640612494.6172,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_01,RQL,18.0496,0.24826,,0.25812,-0.0102,0.208678,4.71,0.0051199999999999996,0.0,0.0,16.81,16.806,18.0434,55.512237,4.600986,4.322308,5e-06,0.9988,0.5,0.102327,0.208678,OK,0.8991,0.9,0.025,False
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_01,POISSON-LIN,18.058,0.24865,,0.26346,-0.05679,0.198741,4.71,0.0051199999999999996,0.0,0.0,0.8,0.795,17.8656,55.512237,4.600986,4.322308,5e-06,0.9988,0.5,0.097454,0.198741,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_01,SAT-POISSON,18.0442,0.24834,,0.25828,-0.01018,0.189277,4.71,0.0051199999999999996,0.0,0.0,0.92,0.922,18.0381,55.512237,4.600986,4.322308,5e-06,0.9988,0.5,0.092813,0.189277,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_01,PRECORRECT,6.28,0.00011,,1.0,-1.0,1160640612494.6172,4.71,0.0051199999999999996,0.0,0.0,0.46,0.459,6.28,55.512237,4.600986,4.322308,5e-06,0.9988,0.5,569127285518.2208,1160640612494.6172,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_02,RQL,17.9956,0.46451,,0.14233,-0.00891,0.208678,4.72,0.0051199999999999996,0.0,0.0,16.79,16.79,17.9802,1.0,4.24435,4.322308,5e-06,0.9988,0.5,0.102327,0.208678,OK,1.0981,0.125,0.05,False
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_02,POISSON-LIN,17.9051,0.4634,,0.15346,-0.05544,0.198741,4.72,0.0051199999999999996,0.0,0.0,0.77,0.771,17.3261,1.0,4.24435,4.322308,5e-06,0.9988,0.5,0.097454,0.198741,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_02,SAT-POISSON,18.0039,0.46496,,0.14219,-0.00889,0.189277,4.72,0.0051199999999999996,0.0,0.0,0.98,0.983,17.9884,1.0,4.24435,4.322308,5e-06,0.9988,0.5,0.092813,0.189277,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_02,PRECORRECT,1.0461,6e-05,,1.0,-1.0,1160640612494.6172,4.72,0.0051199999999999996,0.0,0.0,0.49,0.488,1.0461,1.0,4.24435,4.322308,5e-06,0.9988,0.5,569127285518.2208,1160640612494.6172,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_03,RQL,14.588,0.32336,,0.34343,0.00509,0.208678,4.78,0.0051199999999999996,0.0,0.0,16.87,16.873,14.5849,1.0,3.878503,4.322308,5e-06,0.9988,0.5,0.102327,0.208678,OK,0.9325,0.775,0.05,False
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_03,POISSON-LIN,14.3805,0.32025,,0.35284,-0.04312,0.198741,4.78,0.0051199999999999996,0.0,0.0,0.64,0.636,14.3502,1.0,3.878503,4.322308,5e-06,0.9988,0.5,0.097454,0.198741,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_03,SAT-POISSON,14.5782,0.3232,,0.34382,0.00508,0.189277,4.78,0.0051199999999999996,0.0,0.0,0.93,0.933,14.5751,1.0,3.878503,4.322308,5e-06,0.9988,0.5,0.092813,0.189277,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_03,PRECORRECT,5.3017,0.00018,,1.0,-1.0,1160640612494.6172,4.78,0.0051199999999999996,0.0,0.0,0.56,0.558,5.3017,1.0,3.878503,4.322308,5e-06,0.9988,0.5,569127285518.2208,1160640612494.6172,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_04,RQL,13.5036,0.09463,,0.44367,0.01237,0.208678,4.82,0.0051199999999999996,0.0,0.0,17.33,17.33,13.4943,1.0,4.135848,4.322308,5e-06,0.9988,0.5,0.102327,0.208678,OK,1.0722,0.175,0.275,False
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_04,POISSON-LIN,13.4133,0.09499,,0.44787,-0.03648,0.198741,4.82,0.0051199999999999996,0.0,0.0,0.58,0.574,13.4125,1.0,4.135848,4.322308,5e-06,0.9988,0.5,0.097454,0.198741,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_04,SAT-POISSON,13.4962,0.09419,,0.44406,0.01237,0.189277,4.82,0.0051199999999999996,0.0,0.0,0.78,0.784,13.4868,1.0,4.135848,4.322308,5e-06,0.9988,0.5,0.092813,0.189277,,,,,
S2B_c0001,S2B_00,64,bern50,0.05,100.0,1024,0,stl_04,PRECORRECT,6.4356,0.00011,,1.0,-1.0,1160640612494.6172,4.82,0.0051199999999999996,0.0,0.0,0.47,0.474,6.4356,1.0,4.135848,4.322308,5e-06,0.9988,0.5,569127285518.2208,1160640612494.6172,,,,,
