cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_00,RQL,12.5678,0.15233,,0.39555,-0.00405,0.314753,24.87,0.051199999999999996,0.05,0.0,35.09,35.086,12.5675,1.0,22.052575,22.517945,2.3e-05,0.999404,0.5,0.154341,0.314753,OK,1.0621,0.225,0.3,False
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_00,PRECORRECT,4.5114,0.00013,,1.0,-1.0,3.4183556314032776e+16,24.87,0.051199999999999996,0.05,0.0,0.87,0.865,4.5114,1.0,22.052575,22.517945,2.3e-05,0.999404,0.5,1.6762117751979784e+16,3.4183556314032776e+16,,,,,
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_01,RQL,17.9115,0.2507,,0.26215,-0.00844,0.314753,24.77,0.051199999999999996,0.05,0.0,34.69,34.688,17.9091,7.573681,23.459327,22.517945,2.3e-05,0.999404,0.5,0.154341,0.314753,OK,1.0041,0.475,0.625,False
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_01,PRECORRECT,6.28,0.00011,,1.0,-1.0,3.4183556314032776e+16,24.77,0.051199999999999996,0.05,0.0,0.86,0.855,6.28,7.573681,23.459327,22.517945,2.3e-05,0.999404,0.5,1.6762117751979784e+16,3.4183556314032776e+16,,,,,
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_02,RQL,17.6834,0.45376,,0.14769,-0.01313,0.314753,24.66,0.051199999999999996,0.05,0.0,34.95,34.953,17.6591,1.0,21.448938,22.517945,2.3e-05,0.999404,0.5,0.154341,0.314753,OK,1.0574,0.225,0.95,False
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_02,PRECORRECT,1.0461,6e-05,,1.0,-1.0,3.4183556314032776e+16,24.66,0.051199999999999996,0.05,0.0,0.97,0.971,1.0461,1.0,21.448938,22.517945,2.3e-05,0.999404,0.5,1.6762117751979784e+16,3.4183556314032776e+16,,,,,
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_03,RQL,15.6989,0.33348,,0.30201,0.00783,0.314753,25.13,0.051199999999999996,0.05,0.0,35.26,35.258,15.7012,1.0,22.497291,22.517945,2.3e-05,0.999404,0.5,0.154341,0.314753,OK,0.9561,0.75,0.175,False
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_03,PRECORRECT,5.3017,0.00018,,1.0,-1.0,3.4183556314032776e+16,25.13,0.051199999999999996,0.05,0.0,0.86,0.861,5.3017,1.0,22.497291,22.517945,2.3e-05,0.999404,0.5,1.6762117751979784e+16,3.4183556314032776e+16,,,,,
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_04,RQL,14.1023,0.10159,,0.41371,-0.00361,0.314753,24.88,0.051199999999999996,0.05,0.0,34.64,34.641,14.1017,4.805407,23.11524,22.517945,2.3e-05,0.999404,0.5,0.154341,0.314753,OK,0.9382,0.775,0.2,False
S3_c0033,S3_01,64,bern50,0.05,500.0,2048,2,stl_04,PRECORRECT,6.4356,0.00011,,1.0,-1.0,3.4183556314032776e+16,24.88,0.051199999999999996,0.05,0.0,0.85,0.853,6.4356,4.805407,23.11524,22.517945,2.3e-05,0.999404,0.5,1.6762117751979784e+16,3.4183556314032776e+16,,,,,
