shard_id,stage,kind,arm,image,seed,rho_bar_or_b,nu,pattern_or_cert,cell_id,descriptive
M1_CERT_00,M1_CERT,cert,CERT,m1_chirp_0,0,0.05,200.0,m1_cert,M1_CERT_00_c0001,
M1_CERT_00,M1_CERT,cert,CERT,m1_chirp_0,0,0.6,200.0,m1_cert,M1_CERT_00_c0002,
M1_CERT_00,M1_CERT,cert,CERT,m1_chirp_0,0,0.05,2000.0,m1_cert,M1_CERT_00_c0003,
M1_CERT_00,M1_CERT,cert,CERT,m1_chirp_0,0,0.6,2000.0,m1_cert,M1_CERT_00_c0004,
M1_CERT_00,M1_CERT,cert,CERT,m1_contour_3,3,0.05,200.0,m1_cert,M1_CERT_00_c0005,
M1_CERT_00,M1_CERT,cert,CERT,m1_contour_3,3,0.6,200.0,m1_cert,M1_CERT_00_c0006,
M1_CERT_00,M1_CERT,cert,CERT,m1_contour_3,3,0.05,2000.0,m1_cert,M1_CERT_00_c0007,
M1_CERT_00,M1_CERT,cert,CERT,m1_contour_3,3,0.6,2000.0,m1_cert,M1_CERT_00_c0008,
M1_CERT_00,M1_CERT,cert,CERT,m1_maze_3,1,0.05,200.0,m1_cert,M1_CERT_00_c0009,
M1_CERT_00,M1_CERT,cert,CERT,m1_maze_3,1,0.6,200.0,m1_cert,M1_CERT_00_c0010,
M1_CERT_00,M1_CERT,cert,CERT,m1_maze_3,1,0.05,2000.0,m1_cert,M1_CERT_00_c0011,
M1_CERT_00,M1_CERT,cert,CERT,m1_maze_3,1,0.6,2000.0,m1_cert,M1_CERT_00_c0012,
M1_CERT_00,M1_CERT,cert,CERT,m1_spokes_2,4,0.05,200.0,m1_cert,M1_CERT_00_c0013,
M1_CERT_00,M1_CERT,cert,CERT,m1_spokes_2,4,0.6,200.0,m1_cert,M1_CERT_00_c0014,
M1_CERT_00,M1_CERT,cert,CERT,m1_spokes_2,4,0.05,2000.0,m1_cert,M1_CERT_00_c0015,
M1_CERT_00,M1_CERT,cert,CERT,m1_spokes_2,4,0.6,2000.0,m1_cert,M1_CERT_00_c0016,
M1_CERT_01,M1_CERT,cert,CERT,m1_chirp_0,1,0.05,200.0,m1_cert,M1_CERT_01_c0001,
M1_CERT_01,M1_CERT,cert,CERT,m1_chirp_0,1,0.6,200.0,m1_cert,M1_CERT_01_c0002,
M1_CERT_01,M1_CERT,cert,CERT,m1_chirp_0,1,0.05,2000.0,m1_cert,M1_CERT_01_c0003,
M1_CERT_01,M1_CERT,cert,CERT,m1_chirp_0,1,0.6,2000.0,m1_cert,M1_CERT_01_c0004,
M1_CERT_01,M1_CERT,cert,CERT,m1_contour_3,4,0.05,200.0,m1_cert,M1_CERT_01_c0005,
M1_CERT_01,M1_CERT,cert,CERT,m1_contour_3,4,0.6,200.0,m1_cert,M1_CERT_01_c0006,
M1_CERT_01,M1_CERT,cert,CERT,m1_contour_3,4,0.05,2000.0,m1_cert,M1_CERT_01_c0007,
M1_CERT_01,M1_CERT,cert,CERT,m1_contour_3,4,0.6,2000.0,m1_cert,M1_CERT_01_c0008,
