cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_LBLOB16_00_c0001,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,5.0,1024,0,m1_chirp_0,RQL,1.5566,0.09122,,1.16976,0.01392,0.684047,1.89,0.000256,0.0,0.0,1.06,1.012,1.4656,1.076004,0.929257,0.82747,0.0,61.036234,0.5,0.367442,0.684047,,,,,,,0.273502,0.374509,0.00184917,0.00290941,
M1_LBLOB16_00_c0002,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,10.0,1024,0,m1_chirp_0,RQL,2.6435,0.15339,,1.04877,0.03522,0.939193,3.79,0.000512,0.0,0.0,0.81,0.81,2.414,1.0,1.87727,1.559875,0.0,61.012539,0.5,0.504495,0.939193,,,,,,,0.273502,0.529635,0.00370407,0.00581883,
M1_LBLOB16_00_c0003,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,20.0,1024,0,m1_chirp_0,RQL,2.416,0.17169,,1.0285,-0.02533,1.307834,7.35,0.001024,0.0,0.0,0.81,0.812,2.5835,1.17384,4.616346,3.024719,0.0,60.885561,0.5,0.702514,1.307834,,,,,,,0.273502,0.749017,0.00718117,0.01163766,
M1_LBLOB16_00_c0004,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,50.0,1024,0,m1_chirp_0,RQL,2.6841,0.16308,,1.00598,-0.01424,2.048283,18.53,0.0025599999999999998,0.0,0.0,0.82,0.823,2.7758,1.340365,18.555803,7.41925,1e-06,61.03443,0.5,1.100252,2.048283,,,,,,,0.273502,1.184301,0.01809692,0.02909414,
M1_LBLOB16_00_c0005,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,100.0,1024,0,m1_chirp_0,RQL,3.0169,0.15533,,0.95987,-0.02679,2.887419,36.53,0.0051199999999999996,0.0,0.0,0.78,0.782,3.1833,1.348547,59.148431,14.743469,2e-06,60.92444,0.5,1.551001,2.887419,,,,,,,0.273502,1.674854,0.035676,0.05818828,
M1_LBLOB16_00_c0006,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,200.0,1024,0,m1_chirp_0,RQL,2.9137,0.14765,,0.97234,-0.02491,4.076842,73.27,0.010239999999999999,0.0,0.0,0.81,0.811,3.0712,1.409607,214.459508,29.391907,4e-06,60.956851,0.5,2.189909,4.076842,,,,,,,0.273502,2.368601,0.07155228,0.11637656,
M1_LBLOB16_00_c0007,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,500.0,1024,0,m1_chirp_0,RQL,3.077,0.15648,,0.95622,-0.02231,6.439797,183.22,0.025599999999999998,0.0,0.0,0.8,0.803,3.2164,1.304135,1139.789436,73.337219,1e-05,60.884262,0.5,3.45919,6.439797,,,,,,,0.273502,3.745087,0.17892933,0.29094139,
M1_LBLOB16_00_c0008,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,1000.0,1024,0,m1_chirp_0,RQL,3.1707,0.16287,,0.9501,-0.01634,9.104298,367.16,0.051199999999999996,0.0,0.0,0.83,0.826,3.2722,1.259165,4272.732425,146.579407,2e-05,61.039973,0.5,4.890449,9.104298,,,,,,,0.273502,5.296353,0.35855865,0.58188278,
M1_LBLOB16_00_c0009,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,2000.0,1024,0,m1_chirp_0,RQL,3.1298,0.15353,,0.95597,-0.01435,12.873335,733.43,0.10239999999999999,0.0,0.0,0.81,0.811,3.2187,1.366789,18167.718961,293.063782,3.9e-05,60.924323,0.5,6.915018,12.873335,,,,,,,0.273502,7.490174,0.71623611,1.16376555,
M1_LBLOB16_00_c0010,M1_LBLOB16_00,32,m1pat:LBLOB16:m1_chirp_0,0.6,5.0,1024,1,m1_chirp_0,RQL,2.3992,0.16004,,1.07718,0.03318,0.684047,1.89,0.000256,0.0,0.0,0.8,0.803,2.1818,1.0,0.881888,0.82747,0.0,60.887058,0.5,0.367442,0.684047,,,,,,,0.273502,0.374509,0.00184727,0.00290941,
