cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_RIDGE-SCAT32_00_c0001,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.24062091648810835,5.0,1024,0,m1_chirp_0,RQL,6.0519,0.00462,,0.69031,0.03367,0.349495,0.99,0.000256,0.0,0.0,0.36,0.312,6.0467,2.321673,0.715659,0.668805,0.0,31.342878,0.5,0.187734,0.349495,,,,,,,0.215137,0.211859,0.00097084,0.00117449,
M1_RIDGE-SCAT32_00_c0002,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.47682761515312255,10.0,1024,0,m1_chirp_0,RQL,6.0527,0.00406,,0.69053,0.04501,0.635513,3.31,0.000512,0.0,0.0,0.11,0.113,6.0439,1.581417,1.806186,1.560574,0.0,31.224675,0.5,0.341371,0.635513,,,,,,,0.215137,0.386572,0.00323391,0.00465486,
M1_RIDGE-SCAT32_00_c0003,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.9477181358024531,20.0,1024,0,m1_chirp_0,RQL,6.2299,0.02163,,0.67592,0.01781,1.09903,9.77,0.001024,0.0,0.0,0.1,0.098,6.2297,1.242689,3.684447,2.683259,0.0,31.496367,0.5,0.590353,1.09903,,,,,,,0.215137,0.67113,0.0095396,0.01850351,
M1_RIDGE-SCAT32_00_c0004,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,2.352288090606471,50.0,1024,0,m1_chirp_0,RQL,6.4969,0.06124,,0.65544,0.00023,2.079315,34.93,0.0025599999999999998,0.0,0.0,0.12,0.119,6.497,1.649372,8.921922,3.242305,0.0,31.306868,0.5,1.116921,2.079315,,,,,,,0.215137,1.274309,0.03410912,0.11481681,
M1_RIDGE-SCAT32_00_c0005,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,4.681200391835368,100.0,1024,0,m1_chirp_0,RQL,7.0752,0.18105,,0.61292,0.00705,3.189205,82.22,0.0051199999999999996,0.0,0.0,0.14,0.135,7.0795,1.62416,13.302358,2.655709,0.0,31.390793,0.5,1.713108,3.189205,,,,,,,0.215137,1.952871,0.08029461,0.45698526,
M1_RIDGE-SCAT32_00_c0006,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,9.32405933349059,200.0,1024,0,m1_chirp_0,RQL,7.6304,0.28521,,0.57526,-7e-05,4.751892,180.21,0.010239999999999999,0.0,0.0,0.17,0.168,7.6304,1.641328,17.31864,1.785369,0.0,31.375164,0.5,2.552518,4.751892,,,,,,,0.215137,2.891394,0.17599106,1.82045514,
M1_RIDGE-SCAT32_00_c0007,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,13.805668080728806,500.0,1024,0,m1_chirp_0,RQL,8.8747,0.48872,,0.4987,-0.00192,7.588871,465.29,0.025599999999999998,0.0,0.0,0.16,0.164,8.8708,1.653071,52.169486,2.214084,0.0,31.090643,0.5,4.076425,7.588871,,,,,,,0.215137,4.64531,0.45438099,6.73864209,
M1_RIDGE-SCAT32_00_c0008,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,17.540938212081567,1000.0,1024,0,m1_chirp_0,RQL,10.4251,0.6668,,0.41808,-0.00604,10.759344,944.14,0.051199999999999996,0.0,0.0,0.22,0.218,10.4023,1.714692,140.022859,2.837946,0.0,31.406539,0.5,5.779471,10.759344,,,,,,,0.215137,6.61722,0.92201233,17.12370655,
M1_RIDGE-SCAT32_00_c0009,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,22.25454777474566,2000.0,1024,0,m1_chirp_0,RQL,12.0408,0.78583,,0.34728,-0.00473,15.250212,1910.68,0.10239999999999999,0.0,0.0,0.24,0.242,12.014,1.803784,374.262799,3.624364,0.0,31.030185,0.5,8.191778,15.250212,,,,,,,0.215137,9.412076,1.86589718,43.45039482,
M1_RIDGE-SCAT32_00_c0010,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.24664900597586845,5.0,1024,1,m1_chirp_0,RQL,6.0798,0.00418,,0.68787,0.02531,0.353209,1.01,0.000256,0.0,0.0,0.13,0.129,6.0775,2.788672,0.734646,0.676506,0.0,31.372056,0.5,0.189729,0.353209,,,,,,,0.215137,0.213977,0.00098324,0.00120391,
