side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,eta_star,PSNR_rad,audit_status,d_ratio,q_d,q_mean,leak_suspect
64,bern50,0.05,20.0,2048,0,dev_stl_00,RQL,17.4813,0.25329,,0.26669,0.01321,0.048039,0.96,0.002048,0.0,0.0,165.96,164.895,1.0,17.4513,OK,0.9655,0.65,0.875,False
64,bern50,0.05,20.0,2048,0,dev_stl_00,POISSON-LIN,17.3481,0.24715,,0.27024,-0.03565,0.046071,0.96,0.002048,0.0,0.0,133.93,133.93,1.0,17.3364,,,,,
64,bern50,0.05,20.0,2048,0,dev_stl_00,SAT-POISSON,17.4489,0.25128,,0.2677,0.01316,0.042356,0.96,0.002048,0.0,0.0,128.31,128.304,1.0,17.4186,,,,,
64,bern50,0.05,20.0,2048,0,dev_stl_00,PRECORRECT,5.9715,0.00012,,1.0,-1.0,65848716317565.336,0.96,0.002048,0.0,0.0,63.82,63.824,1.0,5.9715,,,,,
64,bern50,0.05,20.0,2048,0,dev_stl_00,GI,2.8758,-0.00088,,,,,0.96,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,20.0,2048,0,dev_stl_01,RQL,15.9281,0.15223,,0.31137,0.07012,0.04942,1.02,0.002048,0.0,0.0,154.87,154.871,1.0,15.7194,OK,0.912,0.875,0.525,False
64,bern50,0.05,20.0,2048,0,dev_stl_01,POISSON-LIN,15.9446,0.15236,,0.30379,0.01578,0.044962,1.02,0.002048,0.0,0.0,126.25,126.251,1.0,15.9334,,,,,
64,bern50,0.05,20.0,2048,0,dev_stl_01,SAT-POISSON,15.9542,0.15238,,0.3104,0.07009,0.04022,1.02,0.002048,0.0,0.0,124.83,124.827,1.0,15.7465,,,,,
64,bern50,0.05,20.0,2048,0,dev_stl_01,PRECORRECT,5.585,8e-05,,1.0,-1.0,70043925319113.07,1.02,0.002048,0.0,0.0,61.3,61.298,1.0,5.585,,,,,
64,bern50,0.05,20.0,2048,0,dev_stl_01,GI,2.5927,-0.00189,,,,,1.02,0.002048,0.0,0.0,0.05,,,,,,,,
