image,rho_bar,nu,seed,C0,C_hat,c_pick,P_25,P_50,P_max,P_pick,regret
dev_fine_lines,0.05,1000.0,0,0,1.0,0.25,6.0667,6.1394,6.1394,6.0667,0.0727
dev_fine_lines,0.05,1000.0,1,0,4.8612,0.25,5.9533,6.1115,6.1115,5.9533,0.1582
dev_fine_lines,0.05,100.0,0,0,1.0,0.25,5.8551,6.0815,6.0815,5.8551,0.2264
dev_fine_lines,0.05,100.0,1,0,1.0,0.25,5.8929,6.076,6.076,5.8929,0.1831
dev_fine_lines,0.05,10.0,0,0,1.0,0.25,2.8188,6.0666,6.0666,2.8188,3.2478
dev_fine_lines,0.05,10.0,1,0,5.910314,0.25,5.9029,6.1197,6.1197,5.9029,0.2168
dev_fine_lines,0.05,2000.0,0,0,1.291226,0.25,6.0967,6.1604,6.1604,6.0967,0.0637
dev_fine_lines,0.05,2000.0,1,0,4.53467,0.25,6.1044,6.1749,6.1749,6.1044,0.0705
dev_fine_lines,0.05,200.0,0,0,1.0,0.25,5.9642,6.1184,6.1184,5.9642,0.1542
dev_fine_lines,0.05,200.0,1,0,1.0,0.25,6.1487,6.1284,6.1487,6.1487,0.0
dev_fine_lines,0.05,20.0,0,0,64.0,0.25,5.9208,6.0866,6.0866,5.9208,0.1658
dev_fine_lines,0.05,20.0,1,0,7.280155,0.25,6.0052,6.1013,6.1013,6.0052,0.0961
dev_fine_lines,0.05,500.0,0,0,1.0,0.25,6.0091,6.0998,6.0998,6.0091,0.0907
dev_fine_lines,0.05,500.0,1,0,2.451116,0.25,6.1486,6.1782,6.1782,6.1486,0.0296
dev_fine_lines,0.05,50.0,0,0,1.0,0.25,6.0944,6.1034,6.1034,6.0944,0.009
dev_fine_lines,0.05,50.0,1,0,15.474135,0.25,6.062,6.0871,6.0871,6.062,0.0251
dev_fine_lines,0.05,5.0,0,0,1.0,0.25,5.8101,6.0534,6.0534,5.8101,0.2433
dev_fine_lines,0.05,5.0,1,0,64.0,0.25,5.7473,6.0673,6.0673,5.7473,0.32
dev_fine_lines,0.6,1000.0,0,0,2.466126,0.25,6.2184,6.2547,6.2547,6.2184,0.0363
dev_fine_lines,0.6,1000.0,1,0,2.239101,0.25,6.1721,6.2284,6.2284,6.1721,0.0563
dev_fine_lines,0.6,100.0,0,0,6.774676,0.25,6.0697,6.1487,6.1487,6.0697,0.079
dev_fine_lines,0.6,100.0,1,0,1.0,0.25,6.0726,6.1223,6.1223,6.0726,0.0497
dev_fine_lines,0.6,10.0,0,0,14.865635,0.25,5.9054,6.1377,6.1377,5.9054,0.2323
dev_fine_lines,0.6,10.0,1,0,13.261605,0.25,5.9974,6.096,6.096,5.9974,0.0986
dev_fine_lines,0.6,2000.0,0,0,2.367149,0.25,6.2761,6.2586,6.2761,6.2761,0.0
dev_fine_lines,0.6,2000.0,1,0,2.191308,0.25,6.1921,6.2194,6.2194,6.1921,0.0273
dev_fine_lines,0.6,200.0,0,0,3.872234,0.25,6.1914,6.2434,6.2434,6.1914,0.052
