side,image,arm,rho_bar,nu,seed,PSNR_rad,lam_tv,runtime_s
8,s4_8_chirp,RQL,0.03,20,0,14.6155,0.225783,0.83
8,s4_8_chirp,EXACT-TV,0.03,20,0,14.6158,0.225616,0.02
8,s4_8_chirp,RQL,0.03,20,1,14.6157,0.22047,0.04
8,s4_8_chirp,EXACT-TV,0.03,20,1,14.6145,0.220307,0.08
8,s4_8_chirp,RQL,0.03,20,2,14.4407,0.215025,0.01
8,s4_8_chirp,EXACT-TV,0.03,20,2,14.4457,0.214866,0.04
8,s4_8_chirp,RQL,0.03,100,0,14.598,0.504423,0.02
8,s4_8_chirp,EXACT-TV,0.03,100,0,14.5982,0.504348,0.04
8,s4_8_chirp,RQL,0.03,100,1,14.6169,0.492553,0.02
8,s4_8_chirp,EXACT-TV,0.03,100,1,14.6171,0.49248,0.04
8,s4_8_chirp,RQL,0.03,100,2,14.477,0.480389,0.04
8,s4_8_chirp,EXACT-TV,0.03,100,2,14.4764,0.480318,0.04
8,s4_8_chirp,RQL,0.03,500,0,14.6152,1.127726,0.03
8,s4_8_chirp,EXACT-TV,0.03,500,0,14.6152,1.127693,0.05
8,s4_8_chirp,RQL,0.03,500,1,14.4411,1.101188,0.02
8,s4_8_chirp,EXACT-TV,0.03,500,1,14.4245,1.101155,0.03
8,s4_8_chirp,RQL,0.03,500,2,14.609,1.073994,0.03
8,s4_8_chirp,EXACT-TV,0.03,500,2,14.609,1.073962,0.06
8,s4_8_chirp,RQL,0.03,20,0,14.6155,0.225783,0.86
8,s4_8_chirp,EXACT-TV,0.03,20,0,14.6158,0.225616,0.03
8,s4_8_chirp,RQL,0.03,20,1,14.6157,0.22047,0.02
8,s4_8_chirp,EXACT-TV,0.03,20,1,14.6145,0.220307,0.06
8,s4_8_chirp,RQL,0.03,20,2,14.4407,0.215025,0.02
8,s4_8_chirp,EXACT-TV,0.03,20,2,14.4457,0.214866,0.05
8,s4_8_chirp,RQL,0.03,100,0,14.598,0.504423,0.02
8,s4_8_chirp,EXACT-TV,0.03,100,0,14.5982,0.504348,0.04
8,s4_8_chirp,RQL,0.03,100,1,14.6169,0.492553,0.03
8,s4_8_chirp,EXACT-TV,0.03,100,1,14.6171,0.49248,0.05
8,s4_8_chirp,RQL,0.03,100,2,14.477,0.480389,0.02
8,s4_8_chirp,EXACT-TV,0.03,100,2,14.4764,0.480318,0.04
8,s4_8_chirp,RQL,0.03,500,0,14.6152,1.127726,0.02
8,s4_8_chirp,EXACT-TV,0.03,500,0,14.6152,1.127693,0.05
8,s4_8_chirp,RQL,0.03,500,1,14.4411,1.101188,0.02
8,s4_8_chirp,EXACT-TV,0.03,500,1,14.4245,1.101155,0.04
8,s4_8_chirp,RQL,0.03,500,2,14.609,1.073994,0.03
8,s4_8_chirp,EXACT-TV,0.03,500,2,14.609,1.073962,0.05
8,s4_8_chirp,RQL,0.03,2000,0,14.6265,2.255378,0.03
8,s4_8_chirp,EXACT-TV,0.03,2000,0,14.6265,2.255362,0.09
8,s4_8_chirp,RQL,0.03,2000,1,14.5993,2.202303,0.03
