side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy,k,flux_mode,alpha_cv,study2_mode,cell_id
32,sparsek,0.05,5.0,1024,0,detail32_glyph_0,RQL,8.1909,0.00516,,0.82762,0.0093,0.040435,0.24,0.000256,0.0,0.0,1.18,1.044,8.1906,57.522061,0.222022,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,-0.4847,0.046122,0.022505,0.0002346,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_1,RQL,10.2778,0.24816,,0.87006,0.08288,0.040435,0.26,0.000256,0.0,0.0,0.14,0.14,10.2701,22.628638,0.220237,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,1.79481,0.057987,0.028295,0.00025082,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_2,RQL,8.5863,0.00934,,0.83825,0.02662,0.040435,0.24,0.000256,0.0,0.0,0.15,0.152,8.5852,64.0,0.235555,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,0.4021,0.047084,0.022975,0.00023842,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_3,RQL,10.2039,0.28236,,0.87755,0.06111,0.040435,0.25,0.000256,0.0,0.0,0.17,0.173,10.1956,64.0,0.22822,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,-1.94202,0.053233,0.025975,0.00024605,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_0,RQL,6.0368,0.00313,,0.73112,0.06536,0.040435,0.25,0.000256,0.0,0.0,0.17,0.167,6.0198,64.0,0.231668,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,0.65379,0.030633,0.014947,0.000247,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_1,RQL,6.2964,0.00425,,0.61555,0.04394,0.040435,0.25,0.000256,0.0,0.0,0.14,0.139,6.2831,64.0,0.226375,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,0.95447,0.021847,0.01066,0.00024223,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_2,RQL,6.0618,0.0041,,0.73815,0.0395,0.040435,0.25,0.000256,0.0,0.0,0.19,0.19,6.0563,64.0,0.222721,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,-0.39969,0.033543,0.016367,0.00024128,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_3,RQL,6.8539,0.00441,,0.84214,-0.02071,0.040435,0.23,0.000256,0.0,0.0,0.2,0.193,6.8531,55.246403,0.221906,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,-0.04386,0.050478,0.024631,0.00022793,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_spokes_0,RQL,6.7353,0.00441,,0.82634,0.00933,0.040435,0.24,0.000256,0.0,0.0,0.14,0.138,6.7355,64.0,0.22942,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,1.3608,0.044894,0.021906,0.0002346,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_spokes_1,RQL,6.935,0.00321,,0.84899,-0.05078,0.040435,0.23,0.000256,0.0,0.0,0.15,0.148,6.9311,1.0,0.204415,0.219079,0.0,0.999757,0.5,0.02172,0.040435,,,,,,-1.18889,0.049822,0.02431,0.00022125,0.00024414,512|0.5,512,normalized,0.0,controls,controls_k512_normalized_r0.05_nu5_s0
