side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy,k,flux_mode,alpha_cv,study2_mode,cell_id
32,sparsek,0.05,5.0,1024,0,detail32_glyph_0,RQL,8.2144,0.00591,,0.82536,0.00955,0.228732,0.24,0.000256,0.0,0.0,5.87,5.615,8.2143,2.430176,0.226912,0.219079,0.0,62.984115,0.5,0.122865,0.228732,OK,0.9702,0.475,0.75,False,0.58666,0.360175,0.175747,0.00023556,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_0,POISSON-LIN,8.2164,0.00594,,0.82547,-0.03731,0.21784,0.24,0.000256,0.0,0.0,0.16,0.157,8.2132,2.430176,0.226912,0.219079,0.0,62.984115,0.5,0.117015,0.21784,,,,,,0.61058,0.360175,0.175747,0.00023556,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_0,SAT-POISSON,8.2144,0.00585,,0.82536,0.00983,0.207467,0.24,0.000256,0.0,0.0,0.2,0.195,8.2144,2.430176,0.226912,0.219079,0.0,62.984115,0.5,0.111443,0.207467,,,,,,0.61362,0.360175,0.175747,0.00023556,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_0,PRECORRECT,6.5472,1e-05,,1.0,-1.0,248036928189.59085,0.24,0.000256,0.0,0.0,0.21,0.205,6.5472,2.430176,0.226912,0.219079,0.0,62.984115,0.5,133235087507.57603,248036928189.59085,,,,,,,0.360175,0.175747,0.00023556,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_0,GI,5.1671,0.12751,,,,,0.24,0.000256,0.0,0.0,0.01,,,,,,,,,,,,,,,,0.10203,0.360175,0.175747,0.00023556,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_1,RQL,10.5976,0.28912,,0.83705,0.05178,0.228732,0.25,0.000256,0.0,0.0,4.87,4.874,10.606,1.0,0.2215,0.219079,0.0,62.984115,0.5,0.122865,0.228732,OK,1.098,0.225,0.275,False,1.87052,0.459545,0.224235,0.00024891,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_1,POISSON-LIN,10.6171,0.2927,,0.83602,-0.00151,0.21784,0.25,0.000256,0.0,0.0,0.15,0.149,10.6167,1.0,0.2215,0.219079,0.0,62.984115,0.5,0.117015,0.21784,,,,,,1.85789,0.459545,0.224235,0.00024891,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_1,SAT-POISSON,10.6258,0.29222,,0.83424,0.05647,0.207467,0.25,0.000256,0.0,0.0,0.11,0.105,10.6353,1.0,0.2215,0.219079,0.0,62.984115,0.5,0.111443,0.207467,,,,,,1.82618,0.459545,0.224235,0.00024891,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_1,PRECORRECT,9.0611,0.01116,,1.0,-1.0,248036928189.59085,0.25,0.000256,0.0,0.0,0.24,0.241,9.0611,1.0,0.2215,0.219079,0.0,62.984115,0.5,133235087507.57603,248036928189.59085,,,,,,,0.459545,0.224235,0.00024891,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_1,GI,8.9546,0.16169,,,,,0.25,0.000256,0.0,0.0,0.01,,,,,,,,,,,,,,,,0.27288,0.459545,0.224235,0.00024891,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_2,RQL,8.5659,0.00994,,0.84012,0.00163,0.228732,0.24,0.000256,0.0,0.0,5.05,5.044,8.5658,5.29214,0.236137,0.219079,0.0,62.984115,0.5,0.122865,0.228732,OK,0.989,0.35,0.5,False,0.29652,0.385046,0.187883,0.0002346,0.00024414,16|0.015625,16,normalized,0.0,primary,primary_k16_normalized_r0.05_nu5_s0
