side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy,k,flux_mode,alpha_cv,study2_mode,cell_id
32,sparsek,0.05,5.0,1024,0,detail32_glyph_0,RQL,8.2119,0.00581,,0.82585,-0.03457,0.161738,0.23,0.000256,0.0,0.0,1.04,0.92,8.2091,1.0,0.215529,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.43289,0.261133,0.12742,0.00022507,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_1,RQL,10.5244,0.27459,,0.84422,0.09334,0.161738,0.26,0.000256,0.0,0.0,0.09,0.091,10.532,1.47722,0.221422,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,2.01494,0.309609,0.151074,0.00025368,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_2,RQL,8.5616,0.0095,,0.8405,-0.00626,0.161738,0.24,0.000256,0.0,0.0,0.13,0.124,8.5618,7.276494,0.23062,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,-0.12824,0.255546,0.124694,0.00023174,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_glyph_3,RQL,10.6826,0.31659,,0.82842,0.06762,0.161738,0.26,0.000256,0.0,0.0,0.15,0.146,10.696,16.145752,0.244687,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,2.41913,0.303797,0.148238,0.00025082,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_0,RQL,6.0502,0.00538,,0.72903,0.03759,0.161738,0.25,0.000256,0.0,0.0,0.18,0.176,6.0447,9.555924,0.234235,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,1.44882,0.187229,0.091358,0.00024128,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_1,RQL,6.2549,0.02332,,0.61888,0.01512,0.161738,0.25,0.000256,0.0,0.0,0.13,0.133,6.2363,4.219687,0.225772,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,2.56247,0.131249,0.064043,0.00024033,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_2,RQL,6.1687,0.00683,,0.72865,0.00926,0.161738,0.24,0.000256,0.0,0.0,0.14,0.143,6.1688,4.982007,0.226981,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.37263,0.194274,0.094796,0.00023556,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_chirp_3,RQL,6.881,0.00479,,0.83993,-0.04638,0.161738,0.23,0.000256,0.0,0.0,0.17,0.166,6.8759,1.0,0.217738,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.79268,0.273649,0.133527,0.00022221,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_spokes_0,RQL,6.9528,0.01045,,0.80605,-0.00575,0.161738,0.24,0.000256,0.0,0.0,0.13,0.129,6.9515,4.978242,0.226975,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,1.75767,0.264675,0.129148,0.0002327,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_spokes_1,RQL,7.2802,0.01016,,0.81832,-0.07183,0.161738,0.22,0.000256,0.0,0.0,0.18,0.18,7.2507,1.0,0.208633,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,1.80246,0.278861,0.13607,0.00021839,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_spokes_2,RQL,7.2145,0.00809,,0.82991,0.0448,0.161738,0.25,0.000256,0.0,0.0,0.18,0.18,7.2198,2.593406,0.223192,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,2.46356,0.288566,0.140806,0.00024319,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_spokes_3,RQL,6.8119,0.00863,,0.81955,-0.03002,0.161738,0.23,0.000256,0.0,0.0,0.18,0.176,6.8072,4.456853,0.226148,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,1.25601,0.262649,0.12816,0.00022697,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_maze_0,RQL,7.3961,0.00421,,0.87525,0.07755,0.161738,0.26,0.000256,0.0,0.0,0.16,0.156,7.3865,1.0,0.219055,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,-0.11413,0.305431,0.149035,0.00024986,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_maze_1,RQL,6.8949,0.00388,,0.84795,0.08037,0.161738,0.26,0.000256,0.0,0.0,0.15,0.149,6.8818,27.733008,0.263065,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,-0.01295,0.267912,0.130728,0.00025082,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_maze_2,RQL,9.1215,0.00692,,0.932,0.13464,0.161738,0.27,0.000256,0.0,0.0,0.09,0.093,9.101,24.649849,0.258175,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.05165,0.418195,0.204058,0.00026321,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_maze_3,RQL,9.8228,0.00684,,0.93909,-0.05541,0.161738,0.23,0.000256,0.0,0.0,0.16,0.16,9.821,1.0,0.202391,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.06189,0.473244,0.23092,0.0002203,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_contour_0,RQL,8.2807,0.16537,,0.74772,-0.02452,0.161738,0.23,0.000256,0.0,0.0,0.12,0.118,8.2821,1.0,0.217132,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,-0.89181,0.19246,0.093911,0.00022793,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_contour_1,RQL,8.8571,0.11026,,0.74763,0.04409,0.161738,0.25,0.000256,0.0,0.0,0.13,0.127,8.8581,16.145752,0.244687,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,1.29922,0.203213,0.099158,0.00024319,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_contour_2,RQL,7.5234,0.03286,,0.67944,0.03343,0.161738,0.25,0.000256,0.0,0.0,0.14,0.141,7.5148,1.0,0.21595,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,-0.37934,0.159339,0.07775,0.00024033,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_contour_3,RQL,7.2824,0.02816,,0.76967,-0.08296,0.161738,0.22,0.000256,0.0,0.0,0.14,0.139,7.2658,1.0,0.19476,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.30893,0.206085,0.100559,0.00021648,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_microtexture_0,RQL,14.2545,0.02736,,0.58286,-0.09041,0.161738,0.22,0.000256,0.0,0.0,0.18,0.182,14.1844,1.0,0.197205,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.29279,0.125358,0.061169,0.00021267,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_microtexture_1,RQL,12.5732,0.01647,,0.53561,-0.05612,0.161738,0.23,0.000256,0.0,0.0,0.21,0.207,12.5411,1.0,0.205597,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,-5.42989,0.108181,0.052787,0.0002203,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_microtexture_2,RQL,14.3782,0.03931,,0.61903,0.06618,0.161738,0.25,0.000256,0.0,0.0,0.16,0.162,14.3081,1.0,0.214756,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,-0.13658,0.129517,0.063198,0.00024891,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,0,detail32_microtexture_3,RQL,15.0883,0.03787,,0.59429,-0.00073,0.161738,0.24,0.000256,0.0,0.0,0.13,0.123,15.0883,1.0,0.219461,0.219079,0.0,30.992371,0.5,0.086879,0.161738,,,,,,0.32849,0.124715,0.060855,0.00023174,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s0
32,sparsek,0.05,5.0,1024,1,detail32_glyph_0,RQL,8.182,0.00527,,0.82936,0.06122,0.161738,0.25,0.000256,0.0,0.0,0.15,0.147,8.1723,18.434608,0.248317,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,-0.116,0.257928,0.125856,0.000247,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_glyph_1,RQL,10.3601,0.25661,,0.86317,-0.09211,0.161738,0.22,0.000256,0.0,0.0,0.16,0.157,10.3391,1.0,0.207528,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,1.93998,0.324947,0.158558,0.00021267,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_glyph_2,RQL,8.5256,0.00897,,0.84963,0.15371,0.161738,0.27,0.000256,0.0,0.0,0.1,0.095,8.468,18.829886,0.248944,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,-0.0289,0.27183,0.132639,0.00026703,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_glyph_3,RQL,10.4206,0.30074,,0.8549,0.01593,0.161738,0.24,0.000256,0.0,0.0,0.13,0.126,10.4227,1.0,0.219577,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,2.6581,0.318972,0.155642,0.00023651,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_chirp_0,RQL,6.0791,0.00739,,0.72752,-0.06307,0.161738,0.22,0.000256,0.0,0.0,0.14,0.138,6.0627,1.0,0.215717,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,-0.84711,0.188921,0.092184,0.00021935,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_chirp_1,RQL,6.4694,0.00894,,0.60355,0.04813,0.161738,0.25,0.000256,0.0,0.0,0.15,0.15,6.4542,15.010756,0.242887,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,0.6211,0.13815,0.06741,0.00024414,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_chirp_2,RQL,6.1004,0.00398,,0.73654,-0.07815,0.161738,0.22,0.000256,0.0,0.0,0.19,0.186,6.0752,1.0,0.217822,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,-0.02955,0.191409,0.093398,0.00021553,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_chirp_3,RQL,6.9097,0.00755,,0.83673,-0.03122,0.161738,0.23,0.000256,0.0,0.0,0.1,0.1,6.9091,1.0,0.213523,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,-0.1064,0.2677,0.130624,0.00022888,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_spokes_0,RQL,6.9226,0.01172,,0.80862,0.00687,0.161738,0.24,0.000256,0.0,0.0,0.18,0.177,6.9238,5.373524,0.227602,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,1.64226,0.257555,0.125674,0.00023556,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
32,sparsek,0.05,5.0,1024,1,detail32_spokes_1,RQL,7.5558,0.0197,,0.78766,0.09072,0.161738,0.26,0.000256,0.0,0.0,0.11,0.106,7.5823,12.68615,0.2392,0.219079,0.0,30.992345,0.5,0.086879,0.161738,,,,,,3.09838,0.276778,0.135054,0.00025654,0.00024414,32|0.03125,32,normalized,0.0,robustness,robustness_k32_normalized_r0.05_nu5_s1
