side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy,k,flux_mode,alpha_cv,study2_mode,cell_id
32,sparsek,0.05,20.0,1024,0,detail32_glyph_0,RQL,8.2424,0.00744,,0.82459,-0.09213,0.455015,0.87,0.001024,0.0,0.0,0.98,0.86,8.2224,1.26439,0.931245,0.866957,1e-06,62.984855,0.5,0.244415,0.455015,,,,,,1.34197,0.360175,0.351495,0.00084972,0.00094689,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s0_acv0.20
32,sparsek,0.05,20.0,1024,0,detail32_chirp_0,RQL,6.0269,0.00349,,0.73267,-0.08353,0.455015,0.88,0.001024,0.0,0.0,0.11,0.112,6.0015,1.0,0.872995,0.866957,1e-06,62.984855,0.5,0.244415,0.455015,,,,,,-0.73585,0.270006,0.263499,0.0008564,0.00094542,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s0_acv0.20
32,sparsek,0.05,20.0,1024,0,detail32_spokes_0,RQL,7.401,0.05324,,0.76415,0.03227,0.455015,1.0,0.001024,0.0,0.0,0.14,0.135,7.4152,3.938324,1.0672,0.866957,1e-06,62.984855,0.5,0.244415,0.455015,,,,,,3.7623,0.379397,0.370254,0.00097275,0.00098373,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s0_acv0.20
32,sparsek,0.05,20.0,1024,0,detail32_maze_0,RQL,7.4339,0.00553,,0.87057,-0.02038,0.455015,0.94,0.001024,0.0,0.0,0.12,0.112,7.4331,5.549343,1.149111,0.866957,1e-06,62.984855,0.5,0.244415,0.455015,,,,,,0.21665,0.456374,0.445376,0.00091457,0.00101226,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s0_acv0.20
32,sparsek,0.05,20.0,1024,0,detail32_contour_0,RQL,8.9111,0.2205,,0.69475,0.02486,0.455015,0.98,0.001024,0.0,0.0,0.17,0.164,8.9203,1.845374,0.960785,0.866957,1e-06,62.984855,0.5,0.244415,0.455015,,,,,,3.40143,0.280268,0.273513,0.00095654,0.00098579,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s0_acv0.20
32,sparsek,0.05,20.0,1024,0,detail32_microtexture_0,RQL,14.2906,0.02928,,0.57642,0.03498,0.455015,0.99,0.001024,0.0,0.0,0.14,0.134,14.2808,2.577078,0.997988,0.866957,1e-06,62.984855,0.5,0.244415,0.455015,,,,,,0.78299,0.173325,0.169148,0.00096226,0.00097936,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s0_acv0.20
32,sparsek,0.05,20.0,1024,1,detail32_glyph_0,RQL,8.2367,0.00777,,0.82439,0.07839,0.455015,1.03,0.001024,0.0,0.0,0.13,0.129,8.2246,4.197721,1.080392,0.866957,1e-06,62.985821,0.5,0.244415,0.455015,,,,,,0.72587,0.367072,0.358225,0.00100231,0.00103376,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s1_acv0.20
32,sparsek,0.05,20.0,1024,1,detail32_chirp_0,RQL,6.1804,0.00686,,0.72242,-0.10621,0.455015,0.86,0.001024,0.0,0.0,0.19,0.195,6.1239,1.0,0.825683,0.866957,1e-06,62.985821,0.5,0.244415,0.455015,,,,,,-0.57177,0.259268,0.25302,0.00083733,0.00089697,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s1_acv0.20
32,sparsek,0.05,20.0,1024,1,detail32_spokes_0,RQL,7.1209,0.01993,,0.78951,0.04959,0.455015,1.01,0.001024,0.0,0.0,0.2,0.195,7.1316,4.852382,1.113678,0.866957,1e-06,62.985821,0.5,0.244415,0.455015,,,,,,2.48832,0.365809,0.356993,0.00098228,0.00104459,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s1_acv0.20
32,sparsek,0.05,20.0,1024,1,detail32_maze_0,RQL,7.45,0.00918,,0.86887,0.00042,0.455015,0.96,0.001024,0.0,0.0,0.17,0.175,7.45,2.693234,1.003896,0.866957,1e-06,62.985821,0.5,0.244415,0.455015,,,,,,0.26724,0.449701,0.438863,0.00093365,0.00101032,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s1_acv0.20
32,sparsek,0.05,20.0,1024,1,detail32_contour_0,RQL,8.9583,0.21117,,0.69185,-0.00363,0.455015,0.96,0.001024,0.0,0.0,0.16,0.163,8.9566,1.0,0.91456,0.866957,1e-06,62.985821,0.5,0.244415,0.455015,,,,,,2.38725,0.265849,0.259442,0.00093269,0.00099536,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s1_acv0.20
32,sparsek,0.05,20.0,1024,1,detail32_microtexture_0,RQL,14.349,0.0296,,0.57192,0.0007,0.455015,0.95,0.001024,0.0,0.0,0.12,0.119,14.349,1.0,0.877807,0.866957,1e-06,62.985821,0.5,0.244415,0.455015,,,,,,0.93861,0.173715,0.169528,0.00093174,0.00099095,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s1_acv0.20
32,sparsek,0.05,20.0,1024,2,detail32_glyph_0,RQL,8.2221,0.0059,,0.82463,0.0155,0.455015,0.97,0.001024,0.0,0.0,0.16,0.162,8.222,2.859692,1.012359,0.866957,1e-06,62.985725,0.5,0.244415,0.455015,,,,,,1.22206,0.372419,0.363444,0.00094414,0.00098235,16|0.015625,16,normalized,0.2,scattering,scattering_k16_normalized_r0.05_nu20_s2_acv0.20
